大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
203850001000,塩ノ井,35.884667,137.980609,1,0
203850002000,久保,35.893291,137.982102,1,0
203850003000,神子柴,35.858460,137.971972,1,0
203850004000,大芝,35.883694,137.951065,1,0
203850005000,大泉,35.883388,137.962763,1,0
203850006000,沢尻,35.853686,137.943560,1,0
203850007000,中込,35.887937,137.978937,1,0
203850008000,田畑,35.863619,137.976333,1,0
203850009000,南原,35.861405,137.927031,1,0
203850010000,南殿,35.870470,137.976552,1,0
203850011000,北原,35.894586,137.963759,1,0
203850012000,北殿,35.877445,137.979821,1,0
